Artisan,Product_name,Principles,Materials,Processes,Industrial_scale_items,Regular_price,Last_price,Unit_price,Url
Olive mode,Donna Mirror Metallic Card Holder Wallet: Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$20.00 USD,Regular price,https://www.olivemodeboutique.com/products/afina-mirror-metallic-card-holder-wallet-silver
Olive mode,Double Bar Earring,"woman owned, black owned",", , ,",", , ,",,Regular price,$52.00 USD,Regular price,https://www.olivemodeboutique.com/products/double-bar-earring
Olive mode,Dr Jart Cryo Rubber™ Mask: Collagen,"woman owned, black owned",", , ,",", , ,",,Regular price,$15.00 USD,Regular price,https://www.olivemodeboutique.com/products/dr-jart-cryo-rubber%E2%84%A2-mask-collagen
Olive mode,DR. JART+ Dermask Water Jet Vital Hydra Solution Sheet Mask,"woman owned, black owned",", , ,",", , ,",,Regular price,$7.00 USD,Regular price,https://www.olivemodeboutique.com/products/best-beauty-group-dr-jart-dermask-water-jet-vital-hydra-solution-sheet-mask
Olive mode,DR. JART+ K Beauty Dermask Intra Jet Firming Solution,"woman owned, black owned",", , ,",", , ,",,Regular price,$7.00 USD,Regular price,https://www.olivemodeboutique.com/products/best-beauty-group-dr-jart-k-beauty-dermask-intra-jet-firming-solution
Olive mode,Eco-Friendly Creaseless Clips 4pc Set - Black Terrazzo,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/eco-friendly-creaseless-clips-4pc-set-black-terrazzo
Olive mode,Emerald Satin Slit Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$72.00 USD,Regular price,https://www.olivemodeboutique.com/products/emerald-city-satin-slit-dress
Olive mode,Equestrian Suede Jacket,"woman owned, black owned",", , ,",", , ,",,Regular price,$48.00 USD,Regular price,https://www.olivemodeboutique.com/products/camel-cropped-suede-jacket
Olive mode,"Evian Facial Spray - Evian Facial Spray, 1.7 oz","woman owned, black owned",", , ,",", , ,",,Regular price,$8.50 USD,Regular price,https://www.olivemodeboutique.com/products/evian-facial-spray-evian-facial-spray-1-7-oz
Olive mode,Exfoliating Body Dry Brush,"woman owned, black owned",", , ,",", , ,",,Regular price,$14.00 USD,Regular price,https://www.olivemodeboutique.com/products/exfoliating-body-dry-brush
Olive mode,Fairytale Ballerina Clutch,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-shoshanna-evening-bag
Olive mode,Fiji Black Woven Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$80.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-fiji-crossbody
Olive mode,Francesca Gold Crystal Maxi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$158.00 USD,Regular price,https://www.olivemodeboutique.com/products/gold-crystal-maxi
Olive mode,Giselle Mirror Metallic Crossbody: Gold,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,Regular price,https://www.olivemodeboutique.com/products/donna-mirror-metallic-crossbody-gold
